Date	Symbol	Open	High	Low	Close	Volume
8/21/2009	A	25.6	25.61	25.22	25.55	34758
8/21/2009	AA	12.64	12.73	12.49	12.56	338295
8/21/2009	AAPL	167.81	169.37	166.8	169.22	148597
8/21/2009	ABC	21.14	21.25	20.9	21.05	33179
8/21/2009	ABT	45.58	46	45.315	45.39	84699
8/21/2009	ACS	45.08	45.33	44.4	45.32	17241
8/21/2009	ADBE	32.49	32.93	32	32.84	51086
8/21/2009	ADI	28.21	28.44	27.64	28.42	64696
8/21/2009	ADM	28.12	28.75	28.07	28.67	40472
8/21/2009	ADP	38.26	39.11	37.8	39.07	41981
8/21/2009	ADSK	24.4	24.91	24.14	24.51	38523
8/21/2009	AEE	26.58	27.11	26.46	27.05	13171
8/21/2009	AEP	31.31	31.65	31.04	31.49	39739
8/21/2009	AES	14.04	14.32	13.91	14.26	55350
8/21/2009	AET	29.89	30.34	29.38	29.62	60724
8/21/2009	AFL	40.56	42.2	40.3	41.87	58637
8/21/2009	AGN	55.71	56.24	55	55.43	19968
8/21/2009	AIG	34.42	35	32.53	32.85	493973
8/21/2009	AIV	11.46	12.06	11.41	11.95	36058
8/21/2009	AIZ	28.51	29.33	28.51	29.24	8827
8/21/2009	AKAM	18.07	18.5	17.955	18.42	44253
8/21/2009	AKS	20.75	21.12	20.724	20.87	53273
8/21/2009	ALL	28.22	28.77	27.85	28.63	39759
8/21/2009	ALTR	19.36	19.5	19.15	19.48	54580
8/21/2009	AMAT	13.53	13.75	13.32	13.74	159825
8/21/2009	AMD	3.53	3.71	3.51	3.7	201395
8/21/2009	AMGN	60.71	61.01	59.7	60.64	66052
8/21/2009	AMP	29.25	29.87	29	29.82	23186
8/21/2009	AMT	33.19	33.47	32.85	33.12	31521
8/21/2009	AMZN	84.88	85.06	83.54	85	61312
8/21/2009	AN	19.26	19.29	18.86	19.11	22686
8/21/2009	ANF	32.26	32.75	32.05	32.55	21641
8/21/2009	AOC	41.67	41.87	41.33	41.67	20902
8/21/2009	APA	86.86	89.09	86.12	88.87	36404
8/21/2009	APC	52.32	53.96	52.22	53.89	54830
8/21/2009	APD	75.22	76.74	75.11	76.64	13265
8/21/2009	APH	33.18	33.47	32.83	33.35	12561
8/21/2009	APOL	64.54	65.1	63.89	64.84	17593
8/21/2009	ATI	28.7	29.49	28.38	29.25	28354
8/21/2009	AVB	65.13	67.32	64.47	65.16	20563
8/21/2009	AVP	32.62	32.97	32.16	32.66	29949
8/21/2009	AVY	30.75	31.72	30.37	31.3	14079
8/21/2009	AXP	32.96	33.07	32.5	32.85	122772
8/21/2009	AYE	25.35	25.81	25.18	25.8	19106
8/21/2009	AZO	151.8	153.28	151.03	153.25	5204
8/21/2009	BA	45.18	46.02	44.92	45.87	55298
8/21/2009	BAC	17.46	17.6	17.31	17.46	2365971
8/21/2009	BAX	56.28	56.61	55.73	56.29	24672
8/21/2009	BBBY	35.2	35.81	34.73	35.81	36816
8/21/2009	BBT	28	28.28	27.6901	28.03	89082
8/21/2009	BBY	36.92	37.75	36.82	37.49	45468
8/21/2009	BCR	75.39	76.1	74.99	75.56	10229
8/21/2009	BDK	43.17	44.91	43.04	44.82	11891
8/21/2009	BDX	68.29	68.95	67.505	68.85	21571
8/21/2009	BEN	94.19	95	93.1337	94.57	19169
8/21/2009	BF.B	43.54	44.92	43.54	44.77	4591
8/21/2009	BHI	38.1	38.9	37.9	38.71	50370
8/21/2009	BIG	23.1	23.94	23.1	23.81	15682
8/21/2009	BIIB	49.57	50.43	49.16	49.97	22433
8/21/2009	BJS	14.68	15.48	14.68	15.45	78552
8/21/2009	BK	29.05	29.21	28.59	29.12	104719
8/21/2009	BLL	50.47	50.5	49.67	50.08	10099
8/21/2009	BMC	35.13	35.55	34.84	35.45	22812
8/21/2009	BMS	26.73	26.94	26.52	26.92	7200
8/21/2009	BMY	22.37	22.74	22.35	22.57	132006
8/21/2009	BNI	83.75	84.96	82.58	84.77	22948
8/21/2009	BRCM	27.92	28.05	27.44	28.02	67027
8/21/2009	BSX	11.45	11.51	11.28	11.37	100808
8/21/2009	BTU	35.14	35.99	35.14	35.84	44917
8/21/2009	BXP	58.39	60.82	58.24	59.4	20949
8/21/2009	C	4.63	4.86	4.58	4.7	13668188
8/21/2009	CA	22.7	23.01	22.43	22.99	51606
8/21/2009	CAG	19.9	20.31	19.82	20.21	40015
8/21/2009	CAH	35.09	35.73	34.6	35.63	53861
8/21/2009	CAM	35.32	36.84	35.09	36.66	47696
8/21/2009	CAT	46.03	47.33	45.62	47.3	123299
8/21/2009	CB	48.76	49.27	48.44	49.04	24632
8/21/2009	CBE	32.36	32.8	31.8	32.76	10418
8/21/2009	CBG	12.3	12.41	11.93	12.11	42198
